,FIPS,job_creation_rate_1978,job_creation_rate_1979,job_creation_rate_1980,job_creation_rate_1981,job_creation_rate_1982,job_creation_rate_1983,job_creation_rate_1984,job_creation_rate_1985,job_creation_rate_1986,job_creation_rate_1987,job_creation_rate_1988,job_creation_rate_1989,job_creation_rate_1990,job_creation_rate_1991,job_creation_rate_1992,job_creation_rate_1993,job_creation_rate_1994,job_creation_rate_1995,job_creation_rate_1996,job_creation_rate_1997,job_creation_rate_1998,job_creation_rate_1999,job_creation_rate_2000,job_creation_rate_2001,job_creation_rate_2002,job_creation_rate_2003,job_creation_rate_2004,job_creation_rate_2005,job_creation_rate_2006,job_creation_rate_2007,job_creation_rate_2008,job_creation_rate_2009,job_creation_rate_2010,job_creation_rate_2011,job_creation_rate_2012,job_creation_rate_2013,job_creation_rate_2014,job_creation_rate_2015,job_creation_rate_2016,job_creation_rate_2017,job_creation_rate_2018,job_creation_rate_2019
2711,48197,27.584,16.587,27.179,21.652,20.615,15.022,15.778,17.116,16.6,20.989,14.168,14.625,8.004,14.57,17.402,17.073,14.007,11.422,11.458,10.562,6.907,6.054,6.702,15.578,6.243,13.684,11.183,16.133,15.33,12.851,9.935,6.643,8.105,17.821,6.418,11.765,9.81,12.359,10.706,11.288,9.413,13.273
2712,48199,30.069,24.081,22.216,15.854,21.466,21.289,19.224,18.833,17.789,13.456,18.779,24.88,24.352,24.466,24.245,23.12,24.252,22.642,17.771,19.754,25.804,13.848,21.598,16.271,15.202,16.483,22.19,12.238,18.066,17.675,17.198,11.215,11.552,14.583,17.316,12.019,16.946,13.156,12.491,15.4,9.783,10.11
2713,48201,28.243,26.007,22.176,24.314,23.154,18.05,21.754,20.07,19.605,20.244,23.192,23.609,21.555,19.464,19.069,19.656,17.767,19.492,18.022,21.052,21.591,18.567,20.148,18.682,18.403,17.438,16.868,15.692,18.471,19.758,16.626,13.854,12.629,14.502,16.854,16.355,14.58,14.579,13.209,14.416,13.383,13.27
2714,48203,24.435,22.377,18.348,26.678,16.963,14.802,18.134,17.476,17.902,12.807,18.178,19.148,14.622,12.735,13.769,14.903,15.9,18.379,14.786,16.67,18.502,19.174,15.106,14.681,17.973,13.881,17.646,10.964,15.676,17.217,15.122,12.551,15.483,14.41,17.722,12.111,11.618,9.959,8.03,11.284,12.565,10.747
2715,48205,13.243,30.529,7.018,91.224,12.147,13.725,11.277,37.52,17.656,17.514,13.915,7.293,36.805,30.38,23.091,15.92,18.237,15.321,19.38,35.222,25.381,18.788,19.988,4.626,17.714,8.185,12.684,8.193,23.352,16.41,13.963,15.046,5.346,13.793,18.294,12.685,10.797,18.835,17.658,8.045,11.917,7.651
2716,48207,22.472,34.701,15.796,15.136,22.92,18.517,17.2,20.815,13.58,11.235,26.113,20.883,13.564,14.28,10.615,24.936,17.852,14.159,9.638,13.457,9.408,32.353,7.224,13.385,9.302,12.197,9.992,14.616,9.936,11.441,18.457,9.87,20.567,15.789,15.072,10.263,12.686,19.407,10.593,17.058,12.458,20.891
2717,48209,26.442,20.413,23.472,20.76,24.096,19.573,21.061,23.993,20.04,18.219,17.334,15.993,18.046,23.995,20.803,20.544,23.768,20.656,19.2,21.833,22.124,17.454,20.131,24.094,19.487,18.52,16.825,18.709,18.27,19.653,18.054,14.198,16.594,17.968,15.997,15.707,14.781,16.4,15.902,19.317,15.613,12.349
2718,48211,43.918,19.665,29.501,29.333,41.102,13.843,13.996,21.606,22.037,15.476,23.97,22.662,15.395,10.474,22.615,11.445,22.521,19.338,28.099,16.34,11.888,11.534,9.932,22.406,35.613,17.157,16.116,37.511,17.696,23.655,33.026,7.901,8.985,24.075,17.871,23.927,11.491,20.533,9.825,8.514,10.987,13.434
2719,48213,33.365,19.876,18.13,18.648,16.334,21.727,28.737,20.568,22.368,16.373,27.045,21.184,24.472,16.696,19.126,23.41,22.547,19.007,21.077,20.129,18.495,15.059,21.384,14.21,18.144,19.259,18.372,14.444,19.977,15.282,17.374,11.634,13.738,16.501,10.794,13.201,12.747,13.389,14.639,13.792,14.503,9.022
2720,48215,24.594,21.251,22.074,22.333,27.226,15.864,27.731,22.755,17.796,19.332,21.949,21.682,17.84,19.098,20.042,20.748,18.897,19.662,16.315,20.47,18.327,20.251,22.234,22.152,19.25,20.991,19.153,20.8,19.161,19.846,16.748,13.278,15.088,13.461,14.967,14.526,15.023,14.295,14.662,14.621,14.635,12.187
2721,48217,21.972,22.89,24.875,18.797,21.075,20.244,23.477,19.98,16.488,20.225,21.549,15.961,17.523,23.933,21.546,24.501,21.591,18.474,18.976,18.053,15.483,17.126,29.191,18.129,12.37,14.434,11.737,16.068,15.179,17.282,12.914,17.852,12.294,12.336,11.113,15.308,12.578,15.657,14.238,12.85,17.421,10.716
2722,48219,28.193,23.535,20.653,23.345,20.656,15.639,24.954,21.027,25.994,10.583,23.188,18.621,18.432,23.006,14.597,14.413,18.329,15.294,11.828,12.377,15.587,11.862,15.064,27.627,15.708,11.287,22.281,12.36,18.323,22.513,17.341,11.256,17.697,18.187,20.791,21.584,22.059,14.122,6.873,13.521,17.736,14.761
2723,48221,32.831,32.299,24.145,22.975,32.071,26.374,26.863,29.176,22.981,23.013,20.23,20.686,20.626,22.857,22.108,32.681,23.853,26.246,25.283,22.045,22.648,20.635,18.501,19.245,22.183,19.87,16.32,17.521,20.269,31.148,21.708,17.622,14.946,17.81,19.521,18.248,18.449,19.381,14.608,12.952,13.028,18.076
2724,48223,21.462,22.249,20.721,14.935,15.216,18.443,19.222,17.88,17.462,20.178,18.508,14.227,15.58,16.016,15.415,19.047,18.276,17.256,20.446,14.038,22.622,12.676,15.377,11.514,23.504,21.011,16.119,17.892,17.112,12.67,16.373,14.011,10.842,11.38,16.654,12.436,18.408,11.024,10.109,15.506,10.769,11.548
2725,48225,27.932,21.369,15.239,21.92,22.736,18.616,16.829,15.631,20.032,17.535,10.419,22.117,13.99,16.156,12.136,14.255,11.815,15.509,11.863,14.972,12.931,12.59,10.932,11.822,21.724,14.333,10.291,11.352,13.514,13.78,12.581,10.92,10.03,10.477,14.943,9.189,12.105,10.929,11.997,26.498,7.691,13.03
2726,48227,24.291,18.939,18.885,19.129,24.967,11.556,16.441,19.84,15.547,21.001,18.065,72.035,11.091,14.443,11.562,16.004,12.775,16.612,16.575,19.566,19.689,14.331,16.437,14.57,14.739,9.465,12.247,10.701,14.53,14.073,12.404,10.421,10.395,11.719,18.446,14.763,13.036,11.941,14.617,12.966,15.083,17.105
2727,48229,22.549,12.245,17.761,23.967,10.573,39.344,44.218,10.811,33.784,24.332,41.278,13.488,19.903,19.512,14.493,36.522,21.48,8.392,16.514,10.573,25.255,23.792,18.079,6.211,11.616,34.574,18.557,18.182,25.0,17.045,12.603,11.798,72.984,10.985,7.286,8.594,26.011,10.749,15.705,12.312,61.411,13.454
2728,48231,21.363,15.814,16.198,18.574,19.555,16.403,16.003,18.033,19.466,18.568,15.45,14.734,16.489,11.781,13.982,15.136,13.079,12.496,12.183,16.351,15.387,15.325,13.912,15.374,22.062,53.362,10.622,11.694,12.944,11.916,18.139,8.241,8.732,9.42,8.801,10.26,9.016,14.991,9.268,12.448,9.344,7.832
2729,48233,21.286,19.875,16.742,25.45,24.161,11.54,14.665,14.533,11.016,14.232,18.879,14.693,21.2,18.832,16.912,19.589,12.303,10.453,12.896,16.144,13.059,21.075,10.05,9.841,20.737,12.561,12.482,11.623,11.409,10.319,16.244,11.26,11.307,14.055,12.315,8.483,10.8,11.123,10.377,7.732,7.354,8.293
2730,48235,38.486,28.421,17.184,49.442,38.121,7.223,22.568,13.212,39.269,5.823,40.929,10.562,24.691,24.739,18.268,19.063,10.05,19.281,13.984,13.233,14.889,10.337,23.585,11.739,14.226,7.9,13.608,15.079,44.079,26.494,10.904,18.056,7.857,35.84,23.274,40.193,14.44,20.742,17.202,5.624,21.135,16.942
2731,48237,33.914,20.76,24.688,27.19,25.768,16.755,25.283,26.56,15.752,15.617,9.318,11.417,13.525,18.583,13.015,16.249,14.046,14.418,37.889,17.015,14.133,14.951,16.603,13.588,13.912,19.755,31.415,28.194,26.018,22.7,46.865,11.775,24.922,10.679,22.493,19.006,18.408,14.0,8.136,17.44,32.921,10.479
2732,48239,20.161,20.436,26.625,16.265,16.869,12.775,16.038,22.72,15.773,14.56,12.574,15.01,12.279,13.807,18.103,39.827,25.784,28.844,14.699,45.468,37.069,10.07,8.088,10.968,11.754,12.122,10.623,6.517,11.377,10.637,14.478,7.974,7.782,9.183,12.062,17.06,12.189,11.059,8.119,9.831,10.133,11.643
2733,48241,24.896,16.674,17.295,20.543,38.158,9.635,28.172,12.071,18.207,13.773,28.733,13.827,13.487,22.121,12.728,12.777,22.645,26.373,15.764,16.365,13.183,11.55,13.547,13.643,23.207,11.775,12.128,10.337,13.783,15.059,11.221,6.353,10.842,8.958,16.675,9.077,10.567,9.668,9.443,9.325,11.976,8.657
2734,48243,33.466,38.188,18.289,17.109,24.147,14.588,27.197,9.148,31.25,21.172,13.665,26.843,16.722,10.945,23.607,18.919,20.055,33.532,13.995,19.816,20.734,18.386,14.931,6.256,17.484,10.032,13.053,9.494,13.209,11.111,16.667,12.136,30.079,14.706,14.433,14.192,21.287,6.443,13.196,18.551,16.822,10.581
2735,48245,21.935,20.345,18.111,18.195,15.22,15.31,19.718,19.76,18.463,17.188,16.677,19.732,17.973,18.723,20.549,17.667,12.323,16.752,15.111,16.104,16.081,17.953,13.579,16.692,15.797,14.274,18.414,17.074,18.817,13.935,14.01,12.261,12.018,16.018,15.042,10.967,12.912,13.478,10.675,11.577,10.666,12.166
2736,48247,40.163,21.159,21.875,15.37,41.038,15.43,21.793,19.688,19.952,10.938,19.083,13.831,19.567,16.86,10.7,17.778,19.929,20.541,20.761,19.509,29.002,15.899,16.51,16.718,29.842,21.761,22.33,20.452,13.74,19.626,9.987,18.787,9.713,13.966,13.101,6.047,19.438,6.391,42.599,25.054,35.584,29.856
2737,48249,29.97,22.125,20.675,28.92,26.535,14.023,21.435,16.823,20.562,17.319,18.679,16.87,19.217,17.192,16.339,25.591,16.112,15.475,14.315,21.643,17.262,12.352,19.08,17.9,13.349,20.447,15.706,24.043,11.892,22.336,16.759,15.079,9.662,17.807,24.437,12.914,16.04,14.804,9.012,21.81,12.715,9.26
2738,48251,27.795,28.096,22.58,20.681,23.168,22.112,21.559,25.944,19.797,20.495,24.767,23.847,25.751,18.088,17.522,19.62,22.196,16.581,18.756,18.652,16.787,20.265,19.397,17.03,15.224,18.126,19.37,17.656,20.275,21.123,21.784,15.87,12.74,18.473,15.885,13.742,16.155,14.628,13.353,12.751,13.736,13.839
2739,48253,27.723,29.249,24.858,21.363,25.502,11.301,18.545,17.17,39.344,15.322,16.067,17.962,16.113,20.614,23.454,22.591,16.234,17.657,15.202,18.666,14.351,15.709,16.35,15.757,33.112,21.655,13.402,20.913,18.85,23.522,29.686,14.509,14.456,13.703,14.245,17.421,12.056,11.945,12.623,25.508,20.322,8.598
2740,48255,24.635,22.203,22.661,11.814,16.898,22.054,11.102,13.34,12.951,13.496,13.307,17.266,10.393,16.212,10.358,14.199,14.593,13.411,15.765,17.014,11.545,7.153,15.191,13.255,21.954,15.146,6.813,11.434,16.956,12.636,15.003,10.309,11.068,18.918,27.658,22.184,42.996,28.558,11.381,11.607,22.731,11.088
2741,48257,30.969,23.359,20.67,22.575,17.255,21.51,27.344,21.312,24.328,18.078,21.858,23.209,16.581,16.651,18.37,21.32,16.767,21.039,18.933,23.224,24.938,19.74,16.625,17.061,20.124,16.389,16.581,17.079,19.486,26.678,13.685,11.566,10.926,11.335,14.996,12.99,14.307,14.144,14.716,15.73,14.167,12.675
2742,48259,31.608,25.391,24.402,29.251,37.296,28.177,33.46,31.484,23.147,32.567,19.546,27.171,32.258,19.785,19.363,25.616,27.172,25.558,20.381,21.321,16.226,23.851,18.067,18.219,25.991,24.493,15.048,17.142,18.954,17.364,20.378,13.042,14.761,15.213,18.609,18.088,15.701,20.97,13.504,18.594,14.772,17.409
2743,48261,35.294,,,,,,,72.727,72.727,4.082,35.556,22.642,7.018,3.509,0.0,15.789,0.0,21.622,25.532,7.843,15.094,22.222,12.903,0.0,10.256,11.111,0.0,23.81,16.667,0.0,15.789,104.444,62.564,15.873,10.345,7.729,45.283,26.239,16.431,4.154,4.502,2.827
2744,48263,73.684,8.696,64.935,32.258,17.5,9.697,25.581,26.374,7.229,6.202,14.159,19.672,15.0,23.81,43.429,19.388,33.75,64.211,6.667,8.584,5.263,7.965,0.98,4.396,79.263,4.202,16.309,11.067,3.488,16.092,8.989,77.049,49.474,8.145,7.805,8.84,14.444,1.13,8.791,10.345,13.174,3.896
2745,48265,27.991,27.713,18.256,19.912,23.386,21.456,34.94,17.67,21.27,15.434,16.218,60.065,13.189,12.661,14.118,17.852,16.991,17.447,16.933,15.167,16.759,13.702,13.451,11.891,16.092,17.005,10.507,14.091,14.599,14.31,13.157,9.243,9.964,11.146,11.125,11.418,9.748,10.875,13.522,15.681,10.172,13.705
